district,literacy_rate,gender_ratio_f_to_1000m,percent_primary_ed,percent_age_below_29
ARUNACHAL PRADESH - West Kameng,0.58,819,0.12,0.63
ARUNACHAL PRADESH - East Kameng,0.49,1029,0.13,0.68
ARUNACHAL PRADESH - Papum Pare,0.69,980,0.12,0.68
ARUNACHAL PRADESH - Upper Subansiri,0.54,998,0.19,0.67
ARUNACHAL PRADESH - West Siang,0.58,930,0.16,0.63
ARUNACHAL PRADESH - East Siang,0.63,980,0.14,0.62
ARUNACHAL PRADESH - Upper Siang,0.52,889,0.16,0.6
ARUNACHAL PRADESH - Changlang,0.49,926,0.15,0.65
ARUNACHAL PRADESH - Tirap,0.43,944,0.15,0.64
ARUNACHAL PRADESH - Lower Subansiri,0.65,984,0.13,0.67
ARUNACHAL PRADESH - Kurung Kumey,0.4,1032,0.16,0.7
ARUNACHAL PRADESH - Dibang Valley,0.55,813,0.16,0.64
ARUNACHAL PRADESH - Lower Dibang Valley,0.59,928,0.15,0.65
ARUNACHAL PRADESH - Lohit,0.57,912,0.17,0.65
ARUNACHAL PRADESH - Anjaw,0.47,839,0.14,0.66
NAGALAND - Mon,0.48,899,0.18,0.67
NAGALAND - Mokokchung,0.82,925,0.22,0.57
NAGALAND - Zunheboto,0.73,976,0.22,0.65
NAGALAND - Wokha,0.77,968,0.22,0.64
NAGALAND - Dimapur,0.73,919,0.16,0.64
NAGALAND - Phek,0.65,951,0.2,0.66
NAGALAND - Tuensang,0.6,929,0.21,0.68
NAGALAND - Longleng,0.59,905,0.24,0.67
NAGALAND - Kiphire,0.56,956,0.21,0.71
NAGALAND - Kohima,0.74,928,0.17,0.65
NAGALAND - Peren,0.65,915,0.26,0.68
MANIPUR - Senapati,0.55,937,0.17,0.66
MANIPUR - Tamenglong,0.6,943,0.2,0.64
MANIPUR - Churachandpur,0.71,975,0.25,0.62
MANIPUR - Bishnupur,0.66,999,0.15,0.57
MANIPUR - Thoubal,0.64,1002,0.17,0.6
MANIPUR - Imphal West,0.76,1031,0.13,0.54
MANIPUR - Imphal East,0.71,1017,0.15,0.57
MANIPUR - Ukhrul,0.71,943,0.16,0.62
MANIPUR - Chandel,0.63,933,0.2,0.6
MIZORAM - Mamit,0.7,927,0.23,0.65
MIZORAM - Kolasib,0.78,956,0.21,0.62
MIZORAM - Aizawl,0.85,1009,0.17,0.59
MIZORAM - Champhai,0.8,984,0.25,0.63
MIZORAM - Serchhip,0.84,977,0.23,0.61
MIZORAM - Lunglei,0.75,947,0.21,0.62
MIZORAM - Lawngtlai,0.53,945,0.18,0.68
MIZORAM - Saiha,0.75,979,0.25,0.66
TRIPURA - West Tripura,0.79,962,0.24,0.54
TRIPURA - South Tripura,0.74,957,0.25,0.58
TRIPURA - Dhalai,0.73,944,0.22,0.61
TRIPURA - North Tripura,0.75,967,0.26,0.6
MEGHALAYA - West Garo Hills,0.56,984,0.2,0.66
MEGHALAYA - East Garo Hills,0.6,972,0.22,0.68
MEGHALAYA - South Garo Hills,0.58,945,0.2,0.68
